Zodis                         Eilutes             
--------------------------------------------------
adomas                        186 201             
aikštė                        140 145 147 149 193 194 195 197 198 199 212 213 214 
aikštės                       199 201             
akademija                     224 225             
aldonas                       312 312             
alyta                         5 52                
alytus                        5 52                
amžiaus                       52 54 54            
angl                          307 308 309         
ant                           205 218             
antavilių                     16 19               
apaštalų                      281 285             
apgyvendinimo                 83 88               
apie                          5 52 54 59 278 350  
apskrities                    1 267 339           
ar                            71 218              
arba                          77 218              
archyvuota                    326 345 346 357 362 366 
arena                         301 301 301         
arkikatedra                   196 290             
armija                        56 59               
atnaujinkite                  152 166             
atnaujinti                    151 165             
atodanga                      10 10 10            
atsirado                      132 132             
atsiveria                     10 196              
atstovybės                    1 1                 
auga                          19 19 19 82         
augavietė                     20 20               
aukštosios                    229 235             
aukštumos                     10 10               
aukštutinė                    190 191 196         
aukščiausia                   42 43               
aukščiausias                  208 214             
aukščiausių                   19 353              
autobusų                      130 132 134 135     
aušros                        200 201 201 201 201 201 201 291 
baltasis                      92 104              
baltijos                      7 10 74 214 293     
balžio                        16 23 24            
baroko                        199 199             
based                         308 309             
baseinas                      301 301             
batoro                        58 119              
bažnyčia                      199 201 277 279 280 281 282 283 284 285 286 287 288 289 295 295 
bažnyčios                     142 199             
bažnyčių                      189 278             
be                            14 151              
bei                           16 16 54 68 196 201 
belmonto                      19 118              
bendriniu                     4 52                
bendrinėje                    4 52                
bent                          151 165             
bernardinų                    19 114 189          
bet                           56 68 196           
biblioteka                    54 266 267 268 269  
bokštas                       196 206 207 214     
britannica                    307 308 309         
butų                          77 77               
buvo                          56 56 56 57 57 57 58 58 59 59 59 79 80 
bvp                           74 78 78 79 79      
būna                          37 38               
centras                       1 1 57 74 248 250 251 252 256 257 258 263 264 
centre                        199 217             
centrinė                      10 268 333 335      
centro                        7 359               
centru                        54 54               
centrų                        201 214             
cerkvė                        201 201 293         
dailės                        113 225             
dalis                         10 10 16 56 78 151 165 218 
dangų                         295 296 297         
dar                           14 201 218 218      
darbo                         250 252             
darbuotojų                    248 256             
daug                          20 74               
daugiau                       77 78 278 295       
daugiausia                    10 19               
departamentas                 322 338 339 340     
didysis                       53 54 54            
didžiausias                   130 301             
didžiausių                    214 293             
dievo                         279 293 295 296 297 
dirbo                         75 186              
du                            68 78               
duomenys                      39 48 332 333 335 338 
dvasios                       201 284 295         
dėl                           10 74 201           
edition                       307 308 309 343     
ekonomika                     62 70               
enciklopedija                 319 320 334 336 337 
enciklopedijų                 312 317 319 320 334 336 337 
encyclopedia                  308 309 309         
erdvė                         196 199 201         
eur                           78 80 80            
europoje                      54 201              
europos                       7 64 149 212 213 214 214 231 273 273 302 
evangelikai                   179 180             
evangelikų                    295 295             
ežerai                        16 16               
ežeras                        16 16 16 23 24      
ežerų                         16 16 68            
fabrikas                      62 62               
forma                         5 5 5 5 52 52 52    
formos                        5 52                
gamyklos                      62 62               
gariūnų                       12 97               
gatves                        131 133 327         
gatvė                         139 148 201         
gatvės                        119 122 201         
gedimino                      54 192 192 196 196 226 
geležinio                     54 103              
geležinkelio                  61 120 134 254      
greitieji                     130 132             
greta                         201 201             
gubernijos                    57 57               
gyvenamieji                   77 77 77            
gyvenamosios                  333 335 338 339     
gyveno                        186 186             
gyventojai                    86 150 218 311 339 340 
gyventojui                    74 78 79 80         
gyventojų                     56 59 153 167 311 332 333 335 338 340 341 
iki                           54 57 133 301       
informacijos                  151 165             
informaciją                   152 166             
institutas                    312 317 318 319 320 336 
intakas                       10 14 14            
interaktyvi                   308 309             
ir                            1 1 1 5 5 5 5 7 10 10 10 16 19 19 19 19 19 20 20 35 38 52 54 54 54 54 54 56 56 56 57 57 59 59 68 72 74 77 78 79 80 82 88 88 88 95 124 125 125 127 130 130 132 136 139 154 186 186 189 196 196 196 199 201 201 201 201 201 211 211 214 217 219 224 230 248 253 254 257 258 259 261 281 285 289 289 295 295 303 312 317 319 320 333 336 339 359 
isbn                          312 312 344         
istorija                      49 50 196           
iš                            5 14 77 80 133 168 188 273 326 345 346 357 362 366 
išlikusi                      5 52                
jas                           278 295             
jau                           5 328               
jeruzalės                     16 250              
jis                           61 74               
jo                            71 196 217 218      
jono                          201 289 289         
jos                           54 199 218          
juozapo                       218 232             
jų                            59 77 201 339       
kad                           5 5 201             
kaimo                         333 335 338         
